[0] train-err:0.116080 train-nlik:0.484682 valid-err:0.113100 valid-nlik:0.480259 test-err:0.110800 test-nlik:0.459388
[1] train-err:0.076520 train-nlik:0.269800 valid-err:0.077900 valid-nlik:0.281185 test-err:0.073100 test-nlik:0.259968
[2] train-err:0.057620 train-nlik:0.196627 valid-err:0.061200 valid-nlik:0.214121 test-err:0.059100 test-nlik:0.204638
[3] train-err:0.053640 train-nlik:0.174489 valid-err:0.055900 valid-nlik:0.198294 test-err:0.057400 test-nlik:0.188973
[4] train-err:0.048200 train-nlik:0.155730 valid-err:0.054400 valid-nlik:0.183845 test-err:0.052700 test-nlik:0.177340
[5] train-err:0.043120 train-nlik:0.142629 valid-err:0.047900 valid-nlik:0.172963 test-err:0.047800 test-nlik:0.159794
[6] train-err:0.039440 train-nlik:0.129974 valid-err:0.048900 valid-nlik:0.162542 test-err:0.045700 test-nlik:0.155485
[7] train-err:0.045720 train-nlik:0.142240 valid-err:0.052400 valid-nlik:0.186552 test-err:0.048000 test-nlik:0.158877
[8] train-err:0.037280 train-nlik:0.117526 valid-err:0.045000 valid-nlik:0.156464 test-err:0.042100 test-nlik:0.138899
[9] train-err:0.038940 train-nlik:0.124639 valid-err:0.049900 valid-nlik:0.165866 test-err:0.045500 test-nlik:0.143021
[10] train-err:0.035460 train-nlik:0.109883 valid-err:0.044600 valid-nlik:0.151386 test-err:0.042100 test-nlik:0.136570
[11] train-err:0.037820 train-nlik:0.112597 valid-err:0.045800 valid-nlik:0.151369 test-err:0.044100 test-nlik:0.148173
[12] train-err:0.036000 train-nlik:0.113347 valid-err:0.044900 valid-nlik:0.151320 test-err:0.043000 test-nlik:0.143665
[13] train-err:0.033120 train-nlik:0.101718 valid-err:0.042300 valid-nlik:0.147484 test-err:0.042700 test-nlik:0.136303
[14] train-err:0.036880 train-nlik:0.113018 valid-err:0.048400 valid-nlik:0.159361 test-err:0.043300 test-nlik:0.141946
[15] train-err:0.032620 train-nlik:0.100872 valid-err:0.043000 valid-nlik:0.148209 test-err:0.041200 test-nlik:0.131185
[16] train-err:0.033900 train-nlik:0.102764 valid-err:0.043200 valid-nlik:0.145763 test-err:0.040000 test-nlik:0.130736
[17] train-err:0.031940 train-nlik:0.097067 valid-err:0.040000 valid-nlik:0.136649 test-err:0.040200 test-nlik:0.129552
[18] train-err:0.027500 train-nlik:0.086492 valid-err:0.039600 valid-nlik:0.126051 test-err:0.039800 test-nlik:0.122078
[19] train-err:0.039140 train-nlik:0.123081 valid-err:0.052600 valid-nlik:0.168060 test-err:0.049400 test-nlik:0.160021
[20] train-err:0.030140 train-nlik:0.095225 valid-err:0.040800 valid-nlik:0.141927 test-err:0.039900 test-nlik:0.133034
[21] train-err:0.031580 train-nlik:0.093857 valid-err:0.042400 valid-nlik:0.143690 test-err:0.040900 test-nlik:0.134449
[22] train-err:0.028560 train-nlik:0.087185 valid-err:0.039200 valid-nlik:0.130225 test-err:0.038300 test-nlik:0.126968
[23] train-err:0.029460 train-nlik:0.087169 valid-err:0.041700 valid-nlik:0.139619 test-err:0.040900 test-nlik:0.126019
[24] train-err:0.029380 train-nlik:0.085992 valid-err:0.040800 valid-nlik:0.132650 test-err:0.038000 test-nlik:0.121640
[25] train-err:0.029700 train-nlik:0.090364 valid-err:0.042500 valid-nlik:0.141133 test-err:0.040600 test-nlik:0.129394
[26] train-err:0.026300 train-nlik:0.079555 valid-err:0.040200 valid-nlik:0.129210 test-err:0.035900 test-nlik:0.118443
[27] train-err:0.029700 train-nlik:0.088384 valid-err:0.042400 valid-nlik:0.139426 test-err:0.036000 test-nlik:0.126058
[28] train-err:0.029220 train-nlik:0.090060 valid-err:0.043900 valid-nlik:0.145005 test-err:0.038500 test-nlik:0.127791
[29] train-err:0.037220 train-nlik:0.110976 valid-err:0.052900 valid-nlik:0.171860 test-err:0.047000 test-nlik:0.152118
[30] train-err:0.032400 train-nlik:0.097103 valid-err:0.043600 valid-nlik:0.152941 test-err:0.039500 test-nlik:0.130378
[31] train-err:0.031600 train-nlik:0.096567 valid-err:0.045600 valid-nlik:0.154437 test-err:0.040900 test-nlik:0.136837
[32] train-err:0.032640 train-nlik:0.098929 valid-err:0.047500 valid-nlik:0.153214 test-err:0.044000 test-nlik:0.140784
[33] train-err:0.032380 train-nlik:0.099328 valid-err:0.046000 valid-nlik:0.150491 test-err:0.041900 test-nlik:0.129903
[34] train-err:0.026740 train-nlik:0.080552 valid-err:0.037800 valid-nlik:0.134453 test-err:0.039300 test-nlik:0.123255
[35] train-err:0.028780 train-nlik:0.089217 valid-err:0.042800 valid-nlik:0.144711 test-err:0.039000 test-nlik:0.130545
[36] train-err:0.029100 train-nlik:0.088954 valid-err:0.040800 valid-nlik:0.146367 test-err:0.039000 test-nlik:0.131168
[37] train-err:0.027820 train-nlik:0.083395 valid-err:0.041400 valid-nlik:0.135847 test-err:0.038400 test-nlik:0.131773
[38] train-err:0.032040 train-nlik:0.096374 valid-err:0.044500 valid-nlik:0.148309 test-err:0.042700 test-nlik:0.144917
[39] train-err:0.027680 train-nlik:0.084516 valid-err:0.038400 valid-nlik:0.133372 test-err:0.037000 test-nlik:0.127396
[40] train-err:0.025560 train-nlik:0.078342 valid-err:0.038300 valid-nlik:0.125978 test-err:0.039600 test-nlik:0.126924
[41] train-err:0.027460 train-nlik:0.082359 valid-err:0.041100 valid-nlik:0.137508 test-err:0.041000 test-nlik:0.133044
[42] train-err:0.030200 train-nlik:0.090966 valid-err:0.042700 valid-nlik:0.140635 test-err:0.043000 test-nlik:0.143393
[43] train-err:0.026440 train-nlik:0.084423 valid-err:0.039500 valid-nlik:0.134452 test-err:0.040300 test-nlik:0.132088
[44] train-err:0.023860 train-nlik:0.071818 valid-err:0.040300 valid-nlik:0.135546 test-err:0.036200 test-nlik:0.117163
[45] train-err:0.026720 train-nlik:0.079573 valid-err:0.039900 valid-nlik:0.140723 test-err:0.037500 test-nlik:0.125008
[46] train-err:0.031580 train-nlik:0.098313 valid-err:0.046400 valid-nlik:0.164459 test-err:0.044700 test-nlik:0.145832
[47] train-err:0.027860 train-nlik:0.085396 valid-err:0.042800 valid-nlik:0.147682 test-err:0.039100 test-nlik:0.134611
[48] train-err:0.024800 train-nlik:0.074652 valid-err:0.041700 valid-nlik:0.141727 test-err:0.037300 test-nlik:0.121791
[49] train-err:0.023260 train-nlik:0.069351 valid-err:0.040300 valid-nlik:0.134528 test-err:0.036700 test-nlik:0.120605
[50] train-err:0.023240 train-nlik:0.070532 valid-err:0.039000 valid-nlik:0.136784 test-err:0.035800 test-nlik:0.125028
[51] train-err:0.019360 train-nlik:0.063051 valid-err:0.036800 valid-nlik:0.121361 test-err:0.031400 test-nlik:0.107399
[52] train-err:0.018820 train-nlik:0.064051 valid-err:0.034000 valid-nlik:0.116948 test-err:0.032200 test-nlik:0.106127
[53] train-err:0.017100 train-nlik:0.060607 valid-err:0.032200 valid-nlik:0.109771 test-err:0.029800 test-nlik:0.099688
[54] train-err:0.015780 train-nlik:0.059657 valid-err:0.030600 valid-nlik:0.106219 test-err:0.028300 test-nlik:0.097603
[55] train-err:0.014500 train-nlik:0.058730 valid-err:0.029400 valid-nlik:0.103354 test-err:0.027200 test-nlik:0.095179
[56] train-err:0.013880 train-nlik:0.059657 valid-err:0.028800 valid-nlik:0.102741 test-err:0.026500 test-nlik:0.094202
[57] train-err:0.013660 train-nlik:0.059234 valid-err:0.028900 valid-nlik:0.100478 test-err:0.025000 test-nlik:0.092196
[58] train-err:0.012600 train-nlik:0.058146 valid-err:0.028100 valid-nlik:0.098402 test-err:0.025800 test-nlik:0.090189
[59] train-err:0.012420 train-nlik:0.057132 valid-err:0.027800 valid-nlik:0.097127 test-err:0.024800 test-nlik:0.088907
[60] train-err:0.012440 train-nlik:0.056679 valid-err:0.027400 valid-nlik:0.096534 test-err:0.023800 test-nlik:0.087613
[61] train-err:0.012120 train-nlik:0.056164 valid-err:0.027100 valid-nlik:0.095261 test-err:0.024400 test-nlik:0.086682
[62] train-err:0.011760 train-nlik:0.055823 valid-err:0.027300 valid-nlik:0.094475 test-err:0.023900 test-nlik:0.086248
[63] train-err:0.011240 train-nlik:0.055447 valid-err:0.026700 valid-nlik:0.093699 test-err:0.023600 test-nlik:0.085498
[64] train-err:0.011120 train-nlik:0.055199 valid-err:0.026500 valid-nlik:0.093237 test-err:0.023000 test-nlik:0.084556
[65] train-err:0.011040 train-nlik:0.055175 valid-err:0.025800 valid-nlik:0.092745 test-err:0.023100 test-nlik:0.084505
[66] train-err:0.010860 train-nlik:0.055437 valid-err:0.026300 valid-nlik:0.093078 test-err:0.023700 test-nlik:0.084707
[67] train-err:0.010940 train-nlik:0.055406 valid-err:0.026000 valid-nlik:0.093058 test-err:0.023500 test-nlik:0.084909
[68] train-err:0.010880 train-nlik:0.055137 valid-err:0.025800 valid-nlik:0.092849 test-err:0.023100 test-nlik:0.084569
[69] train-err:0.010820 train-nlik:0.055012 valid-err:0.025500 valid-nlik:0.092425 test-err:0.023000 test-nlik:0.084174
[70] train-err:0.010580 train-nlik:0.054455 valid-err:0.025000 valid-nlik:0.091784 test-err:0.023300 test-nlik:0.083303
[71] train-err:0.010440 train-nlik:0.054393 valid-err:0.025100 valid-nlik:0.091509 test-err:0.023400 test-nlik:0.082972
[72] train-err:0.010080 train-nlik:0.053844 valid-err:0.024500 valid-nlik:0.090586 test-err:0.022700 test-nlik:0.082635
[73] train-err:0.009940 train-nlik:0.053476 valid-err:0.024300 valid-nlik:0.089989 test-err:0.022300 test-nlik:0.081879
[74] train-err:0.009960 train-nlik:0.053564 valid-err:0.023700 valid-nlik:0.089543 test-err:0.022100 test-nlik:0.081363
[75] train-err:0.009700 train-nlik:0.053136 valid-err:0.023800 valid-nlik:0.088826 test-err:0.021600 test-nlik:0.080499
[76] train-err:0.009580 train-nlik:0.052764 valid-err:0.023500 valid-nlik:0.088249 test-err:0.021800 test-nlik:0.080051
[77] train-err:0.009280 train-nlik:0.052367 valid-err:0.023700 valid-nlik:0.087645 test-err:0.021900 test-nlik:0.079613
[78] train-err:0.008900 train-nlik:0.051931 valid-err:0.023200 valid-nlik:0.087133 test-err:0.021300 test-nlik:0.079183
[79] train-err:0.008920 train-nlik:0.051704 valid-err:0.022900 valid-nlik:0.086615 test-err:0.022000 test-nlik:0.079018
[80] train-err:0.008860 train-nlik:0.051417 valid-err:0.022600 valid-nlik:0.085903 test-err:0.022100 test-nlik:0.078706
[81] train-err:0.008880 train-nlik:0.051109 valid-err:0.022700 valid-nlik:0.085542 test-err:0.021800 test-nlik:0.078471
[82] train-err:0.008860 train-nlik:0.050827 valid-err:0.022300 valid-nlik:0.085375 test-err:0.021700 test-nlik:0.078229
[83] train-err:0.008640 train-nlik:0.050859 valid-err:0.022100 valid-nlik:0.085427 test-err:0.021400 test-nlik:0.078082
[84] train-err:0.008760 train-nlik:0.050953 valid-err:0.022600 valid-nlik:0.085515 test-err:0.020900 test-nlik:0.077983
